RT,mz,name,adduct,fill_perc,SN_ratio
3.279,860.6095,w/o MS2:PC 40:4,[M+Na]+,0.556,32.57
3.283,702.54034,PC O-31:2,[M+H]+,0.969,136.67
3.283,732.55646,PE 35:1|PE 17:0_18:1,[M+H]+,0.75,66.97
3.284,838.62903,PC 40:4|PC 20:2_20:2,[M+H]+,0.969,6212.35
3.287,782.57031,PC 36:4|PC 18:2_18:2,[M+H]+,0.956,314.68
3.292,713.57489,w/o MS2:TG 8:0_8:0_24:2,[M+H]+,0.719,40.59
3.293,691.52905,Unknown,[M+Na]+,0.85,95.06
3.294,686.57092,DG 40:6|DG 18:2_22:4,[M+NH4]+,0.962,712.24
3.295,714.60498,w/o MS2:SL 16:0;O/26:1,[2M+NH4]+,0.925,120.39
3.296,669.54401,Unknown,[M+Na]+,0.412,56.77
3.298,599.49902,Unknown,[M+H-H2O]+,0.356,19.16
3.3,618.51367,w/o MS2:SL 10:0;O/25:0,[M+H]+,0.05,77.8
3.3,758.5686,PC 34:2|PC 17:1_17:1,[M+H]+,0.881,60.16
3.302,655.466,w/o MS2:SL 14:3;O/22:2;O,[M+K]+,0.969,168.68
3.302,687.56799,w/o MS2:NAGly 14:1/26:4,[M+H]+,0.087,140.18
3.302,1256.00183,Unknown,[M+H]+,0.431,2.62
3.303,617.51196,Unknown,[M+Na]+,0.887,213.97
3.303,639.49677,Unknown,[M+Na]+,0.969,869.48
3.304,634.53625,DG 36:4|DG 16:0_20:4,[M+NH4]+,0.969,6830.99
3.305,313.27203,Unknown,[M+H-2H2O]+,0.625,60.56
3.305,662.5675,w/o MS2:ST 24:1;O4/17:0,[M+H-H2O]+,0.594,1258.67
3.31,643.52917,Unknown,[M+Na]+,0.913,105.53
3.31,688.58752,w/o MS2:ST 24:1;O4/19:1,[M+H]+,0.938,637.93
3.311,660.5545,DG 38:5|DG 18:1_20:4,[M+NH4]+,0.969,4278.82
3.312,665.51276,Unknown,[M+Na]+,0.969,147.05
3.312,681.48053,w/o MS2:SM 31:2;2O,[M+K]+,0.875,25.03
3.315,339.28732,Unknown,[M+H]+,0.231,28.28
3.317,549.48358,w/o MS2:RIKEN P-VS1 ID-4968 from Cell_HEK293_WT_N_Ctr,[M+H-H2O]+,0.312,12.74
3.319,285.22025,Unknown,[M+H]+,0.962,76.81
3.321,584.52289,w/o MS2:Cer 8:0;3O/27:1;(2OH),[M+NH4]+,0.944,239.16
3.322,589.48157,Unknown,[M+Na]+,0.175,55.53
3.328,785.64929,SM 40:2;2O|SM 18:1;2O/22:1,[M+H]+,0.969,994.05
3.329,759.57434,w/o MS2:SM 37:2;3O,[M+H]+,0.031,54.89
3.336,728.55878,PE O-36:3|PE O-18:1_18:2,[M+H]+,0.95,77.5
3.337,759.63062,SM 38:1;2O|SM 18:1;2O/20:0,[M+H]+,0.969,1664.37
3.341,762.59741,PC 34:0|PC 17:0_17:0,[M+H]+,0.969,12756.37
3.345,784.58453,w/o MS2:PC 8:0_28:3,[M+Na]+,0.069,81.15
3.348,759.67377,w/o MS2:SL 18:0;O/26:1,[M+H]+,0.025,96.59
3.349,864.64642,PC 42:5|PC 18:1_24:4,[M+H]+,0.463,46.74
3.354,832.65521,w/o MS2:TG 8:0_16:3_26:7,[M+H]+,0.438,43.6
3.355,810.59546,w/o MS2:PC 36:1,[M+H]+,0.112,94.03
3.356,796.58374,PE 40:4|PE 18:1_22:3,[M+H]+,0.969,470.93
3.358,811.66522,SM 42:3;2O|SM 18:1;2O/24:2,[M+H]+,0.969,1252.25
3.367,788.61206,PC 36:1|PC 18:0_18:1,[M+H]+,0.969,50832.41
3.372,839.6391,w/o MS2:SL 25:3;O/26:7,[M+H]+,0.162,133.2
3.376,1208.00037,Unknown,[M+H]+,0.844,5.16
3.378,575.50183,Unknown,[M+H-H2O]+,0.969,550.22
3.379,593.51385,Unknown,[M+H]+,0.863,162.57
3.379,615.49628,Unknown,[M+Na]+,0.969,695.64
3.381,313.27213,Unknown,[M+H]+,0.956,179.44
3.381,610.53632,DG 34:2|DG 16:0_18:2,[M+NH4]+,0.981,24940.58
3.384,566.55396,Cer 36:1;2O|Cer 18:1;2O/18:0,[M+H]+,0.944,191.18
3.385,337.27432,Unknown,[M+H]+,0.969,275.47
3.393,1234.01147,Unknown,[M+H]+,0.512,5.39
3.394,601.5144,Unknown,[M+H-H2O]+,0.956,354.62
3.396,339.28799,Unknown,[M+H]+,0.825,78.57
3.396,636.59369,DG O-37:3|DG O-19:2_18:1,[M+NH4]+,0.094,63.58
3.397,636.55023,DG 36:3|DG 18:1_18:2,[M+NH4]+,0.969,14888.91
3.397,659.50238,w/o MS2:SL 10:1;O/26:2;O,[M+H]+,0.019,57.14
3.398,636.50256,w/o MS2:MGDG O-8:0_17:0,[M+H]+,0.269,58.09
3.406,641.51074,Unknown,[M+Na]+,0.969,633.84
3.406,664.58374,w/o MS2:Cer 13:1;3O/28:2;(2OH),[M+H]+,0.969,701.51
3.408,1260.03149,Unknown,[M+H]+,0.7,3.89
3.409,814.63049,PC 38:2|PC 18:1_20:1,[M+H]+,0.95,1098.22
3.41,657.48578,w/o MS2:SL 12:2;O/24:2;O,[M+K]+,0.944,139.57
3.41,676.52704,w/o MS2:PC O-29:1,[M+H-2H2O]+,0.412,62.69
3.411,663.56696,w/o MS2:NAGly 14:1/24:2,[M+H]+,0.931,138.73
3.426,686.5708,w/o MS2:ST 24:1;O4/19:2,[M+H]+,0.444,142.7
3.427,720.55237,PE 34:0|PE 17:0_17:0,[M+H]+,0.35,45.34
3.433,687.57483,w/o MS2:SL 13:0;O/26:2,[M+H]+,0.05,49.82
3.441,768.55115,w/o MS2:PC 33:1,[M+H]+,0.069,19.57
3.442,662.5697,DG 38:4|DG 18:2_20:2,[M+NH4]+,0.656,112.04
3.443,605.54614,w/o MS2:RIKEN P-VS1 ID-5903 from Cell_C2C12_WT_N_4hCtr,[M+H]+,0.719,37.77
3.443,746.56543,PE 36:1|PE 18:0_18:1,[M+H]+,0.969,2167.45
3.444,782.5719,w/o MS2:PC 8:0_28:4,[M+H]+,0.019,175.3
3.446,690.5976,w/o MS2:RIKEN P-VS1 ID-7742 from Mouse_Macrophage_WT_N_F1AA,[M+H]+,0.406,45.69
3.451,667.5249,Unknown,[M+Na]+,0.1,78.27
3.456,776.61188,Unknown,[M+H]+,0.488,54.71
3.466,648.55237,w/o MS2:ST 24:1;O4/16:0,[M+H]+,0.475,44.1
3.469,824.64874,PC O-40:4,[M+H]+,0.038,22.05
3.474,610.61963,Unknown,[M+H]+,0.106,71.44
3.475,565.56714,w/o MS2:RIKEN P-VS1 ID-5234 from Cell_HeLa_WT_N_Ctr,[M+H]+,0.306,137.77
3.475,772.58258,PE 38:2|PE 14:0_24:2,[M+H]+,0.463,100.11
3.479,598.53705,w/o MS2:Cer 8:0;3O/28:1;(2OH),[M+Na]+,0.15,50.73
3.49,831.68799,SM 42:1;3O,[M+H]+,0.881,38.58
3.492,568.56683,w/o MS2:Cer 8:0;2O/28:0,[M+H]+,0.125,62.86
3.5,780.58582,PE O-40:5|PE O-18:1_22:4,[M+H]+,0.969,438.86
3.507,773.65051,SM 39:1;2O|SM 18:1;2O/21:0,[M+H]+,0.969,335.22
3.508,269.22501,w/o MS2:RIKEN P-VS1 ID-865 from Mouse_Spleen_WT_N_F1AA,[M+H]+,0.275,14.01
3.511,840.64728,w/o MS2:PC 8:0_32:3,[M+K]+,0.062,31.39
3.514,713.5802,w/o MS2:NAGly 16:2/26:4,[M+H]+,0.794,44.73
3.515,686.56812,DG 40:6|DG 18:0_22:6,[M+NH4]+,0.962,578.63
3.515,691.52802,Unknown,[M+Na]+,0.944,137.59
3.516,707.5011,w/o MS2:SM 33:3;2O,[M+K]+,0.775,15.49
3.516,714.59454,w/o MS2:NAGlySer 10:0/25:0,[M+H]+,0.944,131
3.517,802.63037,PC 37:1|PC 18:0_19:1,[M+H]+,0.944,107.83
3.525,799.66406,SM 41:2;2O|SM 18:2;2O/23:0,[M+H]+,0.969,285.7
3.529,866.66266,PC 42:4|PC 18:1_24:3,[M+H]+,0.913,43.62
3.536,624.55359,DG 35:2|DG 17:0_18:2,[M+NH4]+,0.706,62.32
3.54,688.5824,w/o MS2:ST 24:1;O4/19:1,[M+NH4]+,0.169,307.2
3.54,828.64606,w/o MS2:NAGlySer 18:2/26:4,[M+H]+,0.156,11.56
3.541,693.54242,Unknown,[M+Na]+,0.138,56.66
3.542,648.52039,w/o MS2:TG 8:0_8:0_20:4,[M+H]+,0.969,71.54
3.543,603.46167,w/o MS2:TG 8:0_8:0_16:1,[M+H]+,0.956,120.35
3.543,850.66278,PC O-42:5,[M+H]+,0.156,70.5
3.544,625.43817,w/o MS2:SM 9:0;2O/20:5,[M+Na]+,0.419,32.67
3.548,748.61847,PC O-34:0,[M+H]+,0.969,486.96
3.554,774.63623,PC O-36:1,[M+H]+,0.05,214.33
3.561,824.65277,PC O-40:4,[M+H]+,0.331,31.05
3.57,876.67731,PC O-44:6,[M+H]+,0.256,47.03
3.593,780.58307,PE O-40:5|PE O-20:1_20:4,[M+H]+,0.525,58.96
3.602,730.57458,PE O-36:2|PE O-18:1_18:1,[M+H]+,0.9,67.71
3.606,591.49103,Unknown,[M+Na]+,0.094,68.32
3.613,551.50195,Unknown,[M+H-H2O]+,0.381,46.16
3.614,667.52563,Unknown,[M+Na]+,0.969,633.24
3.614,690.6015,DG 40:4|DG 20:0_20:4,[M+NH4]+,0.969,908.12
3.615,683.49609,Unknown,[M+Na]+,0.969,169.54
3.616,689.57965,w/o MS2:NAGly 14:0/26:4,[M+H]+,0.962,101.7
3.618,662.56714,DG 38:4|DG 18:0_20:4,[M+NH4]+,0.969,8921.48
3.618,688.58392,w/o MS2:ST 24:1;O4/19:1,[M+H]+,0.894,119.19
3.62,586.53784,DG 32:0|DG 16:0_16:0,[M+NH4]+,0.944,210.28
3.622,1262.04126,Unknown,[M+H]+,0.519,3.12
3.623,341.30222,Unknown,[M+H]+,0.925,88.66
3.623,645.54285,Unknown,[M+Na]+,0.956,248.5
3.627,641.58344,w/o MS2:NAGly 10:0/26:0,[M+H]+,0.019,28.09
3.629,640.58704,w/o MS2:RIKEN P-VS1 ID-6619 from Mouse_Muscle_WT_CTX3_Ctr,[M+NH4]+,0.2,296.56
3.632,617.5083,Unknown,[M+Na]+,0.956,230.79
3.633,577.51654,Unknown,[M+H]+,0.969,252.98
3.634,313.27115,Unknown,[M+H]+,0.756,66.06
3.635,612.55072,DG 34:1|DG 16:0_18:1,[M+NH4]+,0.969,4971.35
3.636,595.5246,Unknown,[M+H]+,0.663,108.1
3.64,813.67871,SM 42:2;2O|SM 18:1;2O/24:1,[M+H]+,0.969,37603.76
3.643,816.68665,PC O-39:1,[M+H]+,0.081,188.65
3.644,339.28549,Unknown,[M+H]+,0.919,103.09
3.649,835.66357,Unknown,[M+Na]+,0.969,228.39
3.656,816.64374,PC 38:1|PC 20:0_18:1,[M+H]+,0.631,176.62
3.66,747.61359,w/o MS2:SM 36:1;3O,[M+H]+,0.006,28.79
3.66,817.64594,w/o MS2:NAGly 24:6/26:4,[M+H]+,0.219,83.05
3.662,892.67407,w/o MS2:PC 8:0_36:5,[M+H]+,0.356,41.87
3.665,790.62671,PC 36:0|PC 18:0_18:0,[M+H]+,0.913,347.93
3.667,809.6438,Unknown,[M+Na]+,0.956,123.28
3.668,787.58649,SM 41:8;2O|SM 19:2;2O/22:6,[M+H]+,0.044,72.72
3.668,787.66364,SM 40:1;2O|SM 18:1;2O/22:0,[M+H]+,0.969,17856.19
3.669,746.60724,w/o MS2:DG O-18:4_28:7,[M+H]+,0.863,157.44
3.672,603.52802,w/o MS2:RIKEN P-VS1 ID-5858 from Mouse_Plasma_ApoEKO_N_F1DHA,[M+H]+,0.956,65.4
3.691,638.5675,DG 36:2|DG 18:1_18:1,[M+NH4]+,0.969,3788.7
3.693,665.58301,w/o MS2:NAGly 12:0/26:2,[M+H]+,0.569,124.27
3.695,692.61761,w/o MS2:Cer 13:1;3O/30:2;(2OH),[M+H]+,0.45,37.14
3.697,643.52759,Unknown,[M+Na]+,0.969,333.88
3.697,659.49805,w/o MS2:SL 10:1;O/26:2;O,[M+K]+,0.956,106.85
3.697,666.59882,DG 38:2|DG 20:0_18:2,[M+NH4]+,0.969,371.81
3.698,664.58527,DG 38:3|DG 20:1_18:2,[M+NH4]+,0.819,119.95
3.7,337.27423,Unknown,[M+Na]+,0.162,40.54
3.701,566.55072,w/o MS2:Cer 8:0;2O/28:1,[M+H]+,0.419,63.51
3.704,669.53735,Unknown,[M+Na]+,0.169,30.93
3.707,576.56653,Unknown,[M+H-H2O]+,0.375,16.12
3.707,594.57727,Cer 38:1;2O|Cer 18:1;2O/20:0,[M+H]+,0.806,73.29
3.71,668.59332,w/o MS2:RIKEN P-VS1 ID-7216 from Mouse_Kidney_fads2KO_N_Ctr,[M+H]+,0.025,69.96
3.715,602.58893,Unknown,[M+H]+,0.356,26.43
3.715,628.60181,Unknown,[M+NH4]+,0.962,139.42
3.715,646.61255,Cer 42:3;2O|Cer 18:1;2O/24:2,[M+H]+,0.969,165.3
3.717,690.64703,DG O-41:4|DG O-21:0_20:4,[M+NH4]+,0.706,44.25
3.717,868.67639,PC 42:3|PC 18:1_24:2,[M+H]+,0.225,21.36
3.718,620.59424,Cer 40:2;2O|Cer 18:2;2O/22:0,[M+H]+,0.906,45.98
3.731,810.67798,w/o MS2:Cer 11:0;2O/44:12,[M+H]+,0.225,34.79
3.733,842.65942,PC 40:2|PC 20:1_20:1,[M+H]+,0.381,7.24
3.737,774.59576,PE 38:1|PE 20:0_18:1,[M+H]+,0.15,19.93
3.751,784.66248,w/o MS2:Cer 9:0;2O/44:11,[M+H]+,0.606,85.1
3.759,269.2247,w/o MS2:RIKEN P-VS1 ID-865 from Mouse_Spleen_WT_N_F1AA,[M+H]+,0.95,326.31
3.761,810.59802,w/o MS2:PC 19:2_19:2,[M+H]+,0.031,8.97
3.772,782.5777,w/o MS2:HexCer 14:2;3O/24:2;(2OH),[M+H]+,0.019,20.06
3.776,789.67828,SM 40:0;2O|SM 18:0;2O/22:0,[M+H]+,0.75,116.63
3.792,267.20917,Unknown,[M+H]+,0.881,27.46
3.794,827.69342,SM 43:2;2O|SM 18:2;2O/25:0,[M+H]+,0.969,33.71
3.813,833.70349,Unsettled: SM 42:0;3O,[M+H]+,0.731,14.61
3.819,801.68158,SM 41:1;2O|SM 18:1;2O/23:0,[M+H]+,0.969,20055.6
3.82,823.66028,Unknown,[M+Na]+,0.956,69.78
3.855,631.49005,w/o MS2:RIKEN P-VS1 ID-6421 from Mouse_Feces_WT_ABX_Ctr,[M+H]+,0.8,39.21
3.858,776.65393,PC O-36:0,[M+H]+,0.119,32.29
3.865,852.67792,PC O-42:4,[M+H]+,0.062,17.69
3.887,616.60181,Unknown,[M+H-H2O]+,0.506,34.38
3.887,634.60809,Cer 41:2;2O|Cer 18:2;2O/23:0,[M+H]+,0.931,58.33
3.888,749.54279,w/o MS2:RIKEN P-VS1 ID-9331 from Mouse_Feces_WT_N_Ctr,[M+Na]+,0.962,145.12
3.889,197.07944,Unknown,[M+H]+,0.194,11.12
3.889,744.58838,w/o MS2:PC O-34:2,[M+NH4]+,0.969,765.16
3.889,772.61713,PC O-36:2,[M+H]+,0.969,667.37
3.89,727.56219,Unknown,[M+H]+,0.956,77.64
3.89,765.52258,Unknown,[M+K]+,0.544,42.49
3.89,771.6001,w/o MS2:RIKEN P-VS1 ID-10154 from Mouse_Macrophage_WT_N_F1,[M+H]+,0.969,139.07
3.895,647.45685,Unknown,[M+Na]+,1,487.83
3.897,830.70752,w/o MS2:DG O-24:4_28:7,[M+Na]+,0.075,20.52
3.903,798.67603,HexCer 41:1;2O|HexCer 18:1;2O/23:0,[M+H]+,0.6,16.89
3.932,614.56891,DG 34:0|DG 16:0_18:0,[M+NH4]+,0.613,65.85
3.935,667.60083,w/o MS2:NAGly 12:0/26:1,[M+H]+,0.069,23.74
3.936,668.61877,w/o MS2:Cer 8:0;3O/33:1;(2OH),[M+H]+,0.512,39.8
3.94,666.59912,DG 38:2|DG 18:1_20:1,[M+NH4]+,0.438,48.98
3.944,841.70746,Unknown,[M+H]+,0.931,65.26
3.945,640.58276,DG 36:1|DG 18:0_18:1,[M+NH4]+,0.925,338.98
3.945,842.71674,w/o MS2:TG 8:0_8:0_34:5,[M+H]+,0.038,23.9
3.968,427.32504,Unknown,[M+H]+,0.919,76.92
3.97,837.67993,Unknown,[M+Na]+,0.969,389
3.971,815.69421,SM 42:1;2O|SM 18:1;2O/24:0,[M+H]+,0.981,48090.28
3.975,815.64252,Unknown,[M+H]+,0.1,91.47
3.978,816.64978,PC 38:1|PC 18:0_20:1,[M+H]+,0.1,61.46
3.999,630.6145,Unknown,[M+H-H2O]+,0.969,228.48
4,648.62524,Cer 42:2;2O|Cer 18:1;2O/24:1,[M+H]+,0.969,957.24
4,670.60907,w/o MS2:Cer 8:0;2O/36:5,[M+Na]+,0.969,239.32
4.015,604.59631,Unknown,[M+H-H2O]+,0.969,90.87
4.016,622.61072,Cer 40:1;2O|Cer 18:1;2O/22:0,[M+H]+,0.969,404.95
4.031,269.22433,w/o MS2:RIKEN P-VS1 ID-865 from Mouse_Spleen_WT_N_F1AA,[2M+H]+,0.969,25710.07
4.032,147.11627,Unknown,[M+H]+,0.962,88.91
4.032,161.13278,Unknown,[M+H]+,0.962,33.95
4.032,171.11575,Unknown,[M+Na]+,0.95,23.37
4.032,173.13026,Unknown,[M+H]+,0.962,53.56
4.032,175.14746,Unknown,[M+H]+,0.962,174.18
4.032,177.16431,Unknown,[M+H]+,0.962,54.68
4.032,185.13086,Unknown,[2M+H]+,0.962,72.25
4.032,187.14699,Unknown,[M+H]+,0.962,108.13
4.032,189.1626,Unknown,[M+H]+,0.962,314.2
4.032,199.14607,Unknown,[M+H]+,0.962,52
4.032,201.16299,Unknown,[M+H]+,0.962,314.86
4.032,213.16258,Unknown,[2M+H]+,0.962,429.11
4.032,227.179,Unknown,[M+H]+,0.962,112.12
4.033,115.0566,Unknown,[M+Na]+,0.956,52.27
4.033,119.08544,w/o MS2:RIKEN P-VS1 ID-134 from Mouse_Macrophage_WT_N_F1AA,[M+H]+,0.962,97.93
4.033,128.0612,Unknown,[M+H]+,0.962,154.74
4.033,143.08446,Unknown,[M+Na]+,0.506,48.39
4.033,145.10197,Unknown,[M+Na]+,0.962,101.6
4.033,157.09985,Unknown,[M+Na]+,0.962,80.76
4.033,159.1172,Unknown,[M+H]+,0.962,123.95
4.034,107.08779,Unknown,[M+H]+,0.956,33.78
4.049,812.69543,Unsettled: HexCer 18:1;2O/24:0,[M+H]+,0.962,270.08
4.064,830.76178,w/o MS2:Cer 15:2;3O/38:2;(2OH),[M+H]+,0.013,7.21
4.079,818.71545,w/o MS2:MGDG O-10:0_28:0,[M+H]+,0.431,67.71
4.082,829.71143,SM 43:1;2O|SM 18:1;2O/25:0,[M+H]+,0.969,1885.89
4.083,817.71393,w/o MS2:SM 8:0;2O/34:0,[M+H]+,0.038,173.38
4.099,650.64172,w/o MS2:Cer 8:0;2O/34:1,[M+H]+,0.356,50.73
4.118,624.62823,w/o MS2:Cer 8:0;2O/32:0,[M+H]+,0.188,43.56
4.118,814.66687,PC O-39:2,[M+H]+,0.906,4766.87
4.119,819.62616,Unknown,[M+H]+,0.881,47.6
4.119,835.59509,w/o MS2:RIKEN P-VS1 ID-12823 from Mouse_Kidney_WT_N_F1AA,[M+K]+,0.875,110.84
4.119,842.69379,w/o MS2:PC O-41:2,[M+H]+,0.213,47.57
4.12,841.67841,SM 43:3;3O,[M+H]+,0.669,64.35
4.134,810.59723,w/o MS2:PC 36:1,[M+H]+,0.013,12.05
4.136,662.63873,Cer 43:2;2O|Cer 18:2;2O/25:0,[M+H]+,0.95,107.01
4.137,644.62994,Unknown,[M+H-H2O]+,0.631,36.96
4.141,668.65137,Unsettled: DG O-21:1_18:0,[M+NH4]+,0.775,39.28
4.142,826.70776,w/o MS2:DGCC 8:0_31:0,[M+H]+,0.162,12.32
4.164,636.62457,Cer 41:1;2O|Cer 18:1;2O/23:0,[M+H]+,0.969,1476.2
4.164,680.66522,w/o MS2:RIKEN P-VS1 ID-7511 from Mouse_Ear_fads2KO_N_Ctr,[M+H]+,0.962,72.24
4.165,618.61743,w/o MS2:RIKEN P-VS1 ID-6180 from Mouse_AdrenalGlands_fads2KO_N_Ctr,[M+H-H2O]+,0.962,217.56
4.166,658.60876,Unknown,[M+Na]+,0.962,254.74
4.166,681.67993,Unknown,[M+H]+,0.494,103
4.191,269.22626,w/o MS2:RIKEN P-VS1 ID-865 from Mouse_Spleen_WT_N_F1AA,[M+H]+,0.319,268.67
4.276,843.72925,SM 44:1;2O|SM 18:1;2O/26:0,[M+H]+,0.275,98.39
4.284,658.64832,Unknown,[M+H]+,0.294,56.82
4.284,676.65668,Cer 44:2;2O|Cer 18:1;2O/26:1,[M+H]+,0.931,30.1
4.299,639.67535,Unknown,[M+H]+,0.075,39.08
4.299,694.67865,DG O-41:2|DG O-23:0_18:2,[M+NH4]+,0.969,174.42
4.301,672.62152,w/o MS2:Cer 8:0;2O/36:4,[M+Na]+,0.969,499.05
4.302,695.69788,Unknown,[M+H]+,0.969,114.31
4.309,632.63086,Unknown,[M+H]+,0.969,1181.36
4.309,650.64014,Cer 42:1;2O|Cer 18:1;2O/24:0,[M+H]+,0.969,10764.17
4.311,614.62109,Unknown,[M+H-2H2O]+,0.875,59.36
4.332,833.57947,w/o MS2:RIKEN P-VS1 ID-12733 from Mouse_Kidney_WT_N_F1EPA,[M+K]+,0.95,81.61
4.332,839.66217,w/o MS2:RIKEN P-VS1 ID-12981 from Mouse_Ear_fads2KO_N_Ctr,[M+H]+,0.969,311.52
4.332,840.68152,Unknown,[M+NH4]+,0.656,2479.88
4.334,815.651,w/o MS2:SM 41:2;3O,[M+H]+,0.05,105.83
4.335,853.67401,w/o MS2:TG O-16:3_18:3_18:3,[M+H]+,0.869,12.1
4.337,795.62494,Unknown,[M+H]+,0.969,1190.14
4.337,812.65118,w/o MS2:LPC 37:0,[M+NH4]+,0.969,20068.86
4.338,197.08067,Unknown,[M+K]+,0.969,50.95
4.34,817.60773,Unknown,[M+H]+,0.969,405.45
4.343,854.69104,w/o MS2:ST 28:2;O;Hex;FA 19:2,[M+H]+,0.094,18.39
4.346,834.586,w/o MS2:RIKEN P-VS1 ID-12774 from Mouse_SmallIntestine_WT_N_F1EPA,[M+H]+,0.013,29.92
4.355,177.16431,Unknown,[M+H]+,0.431,21.67
4.356,187.14813,Unknown,[M+H]+,0.6,18.29
4.356,189.16376,Unknown,[M+H]+,0.938,44.73
4.356,213.16267,Unknown,[M+H]+,0.962,58.62
4.357,173.13023,Unknown,[M+H]+,0.781,19.14
4.357,175.14613,Unknown,[M+H]+,0.887,25.21
4.357,227.18198,Unknown,[M+H]+,0.562,17.91
4.358,145.09927,Unknown,[M+H]+,0.575,16.75
4.358,159.1169,Unknown,[M+H]+,0.237,26.17
4.358,199.14748,Unknown,[M+Na]+,0.406,8.9
4.358,201.16141,Unknown,[M+H]+,0.919,42.87
4.358,269.22455,w/o MS2:RIKEN P-VS1 ID-865 from Mouse_Spleen_WT_N_F1AA,[M+H]+,0.962,2697.47
4.36,185.1324,Unknown,[M+H]+,0.169,18.2
4.394,969.76874,w/o MS2:SM 52:5;2O,[M+H]+,0.031,3.25
4.397,940.7348,TG 58:12|TG 18:2_20:5_20:5,[M+NH4]+,0.587,104.19
4.403,646.64563,Unknown,[M+H]+,0.962,124.18
4.404,686.63617,w/o MS2:RIKEN P-VS1 ID-7655 from Mouse_Aorta_WT_N_Ctr,[M+Na]+,0.962,137.39
4.405,708.69678,w/o MS2:DG O-14:0_28:2,[M+K]+,0.894,65.58
4.405,709.71039,Unknown,[M+H]+,0.7,48.11
4.406,652.65894,Cer 42:0;2O|Cer 18:0;2O/24:0,[M+H]+,0.75,42.55
4.486,971.70746,w/o MS2:TG 8:0_16:3_36:10,[M+Na]+,0.325,25.83
4.488,993.76068,w/o MS2:SM 54:7;2O,[M+H]+,0.306,11.2
4.489,994.78503,w/o MS2:TG 8:0_16:3_38:10,[M+H]+,0.35,13.78
4.529,910.74921,w/o MS2:ST 27:1;O;Hex;FA 24:3,[M+H]+,0.481,12.6
4.572,997.71222,w/o MS2:SM 55:12;2O,[M+H]+,0.556,8.29
4.572,1013.69836,w/o MS2:PI 45:1,[M+K]+,0.331,40.25
4.573,947.70209,w/o MS2:SM 9:0;2O/44:12,[M+Na]+,0.637,54.62
4.575,840.70294,w/o MS2:RIKEN P-VS1 ID-13029 from Mouse_SmallIntestine_WT_N_F1DHA,[M+H]+,0.169,46.3
4.575,963.68225,w/o MS2:RIKEN P-VS1 ID-16898 from Mouse_Aorta_ApoEKO_N_F1EPA,[M+K]+,0.406,43.7
4.575,1019.77948,w/o MS2:SM 56:8;2O,[M+H]+,0.656,7.3
4.577,1020.80389,w/o MS2:TG 8:0_18:4_38:10,[M+H]+,0.125,21.07
4.581,971.77954,w/o MS2:SM 52:4;2O,[M+H]+,0.05,31.95
4.582,969.76379,Unknown,[M+H]+,0.194,20.66
4.584,968.76373,Unsettled: TG 18:2_20:5_22:5,[M+NH4]+,0.538,34.48
4.584,970.77368,w/o MS2:RIKEN P-VS1 ID-17055 from Mouse_Adipose_WT_N_F1DHA,[M+H]+,0.075,3.25
4.589,660.66083,Unknown,[M+H-H2O]+,0.4,44.8
4.59,995.77478,Unknown,[M+H]+,0.106,3.88
4.591,892.73529,TG 54:8|TG 16:1_18:2_20:5,[M+NH4]+,0.275,114.11
4.609,996.79297,w/o MS2:MGDG O-24:2_28:7,[M+H]+,0.038,3.12
4.618,897.68835,w/o MS2:SM 9:0;2O/40:9,[M+H]+,0.019,4.47
4.625,866.71869,TG 52:7|TG 14:0_18:2_20:5,[M+NH4]+,0.644,49.43
4.644,816.70197,TG 48:4|TG 12:0_18:2_18:2,[M+NH4]+,0.387,65.2
4.647,894.75177,w/o MS2:TG 8:0_8:0_38:7,[M+K]+,0.05,252.88
4.654,939.67651,w/o MS2:RIKEN P-VS1 ID-16343 from Mouse_Liver_WT_N_F1DHA,[M+K]+,0.538,29.39
4.657,269.22507,w/o MS2:RIKEN P-VS1 ID-865 from Mouse_Spleen_WT_N_F1AA,[M+H]+,0.062,15.11
4.657,923.70557,w/o MS2:TG 8:0_10:0_38:9,[M+Na]+,0.669,89.6
4.659,1414.96704,CL 68:6|CL 34:3_34:3,[M+NH4]+,0.144,3.34
4.661,790.68463,w/o MS2:TG 8:0_8:0_30:3,[M+H]+,0.431,39.25
4.661,945.76282,w/o MS2:SM 50:3;2O,[M+H]+,0.613,63.9
4.663,947.78583,w/o MS2:RIKEN P-VS1 ID-16567 from Mouse_Adipose_WT_N_F1EPA,[M+H]+,0.15,108.45
4.665,973.7182,Unknown,[M+Na]+,0.538,7.99
4.666,1022.80811,w/o MS2:MGDG O-26:3_28:7,[M+H]+,0.538,55.19
4.668,946.77948,w/o MS2:TG 8:0_12:0_38:9,[M+H]+,0.056,231.19
4.674,968.76727,TG 60:12|TG 18:2_20:4_22:6,[M+NH4]+,0.962,1304.42
4.675,956.75909,w/o MS2:RIKEN P-VS1 ID-16737 from Mouse_Testis_WT_N_Ctr,[M+H]+,0.075,26.53
4.695,942.74792,w/o MS2:TG 8:0_14:1_36:10,[M+H]+,0.7,67.02
4.699,842.71667,Unknown,[M+NH4]+,0.694,69.03
4.701,892.73364,TG 54:8|TG 16:0_18:3_20:5,[M+NH4]+,0.881,210.41
4.705,1471.0166,Unknown,[M+NH4]+,0.05,4.25
