RT,mz,name,adduct,fill_perc,SN_ratio
3.862,852.67919,PC O-42:4|PC O-16:0_26:4,[M+H]+,0.12,53.56
3.889,727.56378,CoQ8,[M+H]+,0.97,76.42
3.929,803.69133,SM 41:0;O2|SM 18:0;O2/23:0,[M+H]+,0.57,80.08
3.949,640.58493,DG 36:1|DG 18:0_18:1,[M+NH4]+,0.92,210.53
3.951,841.70685,SM 44:2;O2|SM 18:1;O2/26:1,[M+H]+,0.94,140.52
3.97,837.6785,SM 42:1;O2,[M+Na]+,0.97,401.94
3.971,815.69488,SM 42:1;O2|SM 18:1;O2/24:0,[M+H]+,0.98,29533.33
3.997,630.61551,Cer 42:2;O2|Cer 18:1;O2/24:1,[M+H-H2O]+,0.97,387.49
3.999,648.62648,Cer 42:2;O2|Cer 18:1;O2/24:1,[M+H]+,0.97,970.43
4.016,622.60985,Cer 40:1;O2|Cer 18:1;O2/22:0,[M+H]+,0.97,365.06
4.083,829.71099,SM 43:1;O2|SM 18:1;O2/25:0,[M+H]+,0.97,4746.34
4.12,819.62684,SM 43:6;O2|SM 17:1;O2/26:5,[M+H]+,0.87,89.86
4.12,841.68063,SM 43:3;O3,[M+H]+,0.65,130.57
4.135,662.64162,Cer 43:2;O2|Cer 18:2;O2/25:0,[M+H]+,0.96,81.65
4.164,618.61619,Cer 41:1;O2|Cer 18:1;O2/23:0,[M+H-H2O]+,0.97,272.71
4.164,636.62533,Cer 41:1;O2|Cer 18:1;O2/23:0,[M+H]+,0.97,834.24
4.254,846.692,PC 40:0|PC 20:0_20:0,[M+H]+,0.08,26.24
4.276,843.73062,SM 44:1;O2|SM 18:1;O2/26:0,[M+H]+,0.91,182.16
4.309,632.63015,Cer 42:1;O2|Cer 18:1;O2/24:0,[M+H-H2O]+,0.97,1780.3
4.309,650.63955,Cer 42:1;O2|Cer 18:1;O2/24:0,[M+H]+,0.97,8350.99
4.333,839.65904,SM 43:4;O3,[M+H]+,0.97,218.97
4.337,795.62432,CoQ9,[M+H]+,0.97,795.97
4.398,940.73467,TG 58:12|TG 18:2_20:5_20:5,[M+NH4]+,0.64,86.47
4.403,646.6466,Cer 43:1;O2|Cer 18:1;O2/25:0,[M+H-H2O]+,0.96,172.22
4.481,916.73581,TG 56:10|TG 18:2_18:3_20:5,[M+NH4]+,0.58,168.37
4.488,966.75212,TG 60:13|TG 18:2_20:5_22:6,[M+NH4]+,0.83,364.07
4.564,1464.98835,CL 72:9|CL 36:4_36:5,[M+NH4]+,0.86,47.55
4.588,678.67251,Cer 44:1;O2|Cer 18:1;O2/26:0,[M+H]+,0.97,82.04
4.645,816.70309,TG 48:4|TG 12:0_18:2_18:2,[M+NH4]+,0.14,108.08
4.675,968.7677,TG 60:12|TG 18:2_20:4_22:6,[M+NH4]+,0.96,3295.18
4.68,1440.98332,CL 70:7|CL 34:3_36:4,[M+NH4]+,0.96,384.87
4.709,1467.00209,CL 72:8|CL 36:4_36:4,[M+NH4]+,0.97,14607.29
4.711,868.73352,TG 52:6|TG 16:2_18:2_18:2,[M+NH4]+,0.74,413.35
4.731,863.68182,CoQ10,[M+H]+,0.86,58.06
4.733,894.747,TG 54:7|TG 18:2_18:2_18:3,[M+NH4]+,0.92,3120.28
4.751,944.76438,TG 58:10|TG 18:2_18:2_22:6,[M+NH4]+,0.97,13827.17
4.757,1493.01612,CL 74:9|CL 36:4_38:5,[M+NH4]+,0.97,269.98
4.774,970.77752,TG 60:11|TG 18:2_20:3_22:6,[M+NH4]+,0.84,468.29
4.775,994.78088,TG 62:13|TG 18:1_22:6_22:6,[M+NH4]+,0.89,245.47
4.778,968.76457,TG 60:12|TG 16:0_22:6_22:6,[M+NH4]+,0.85,310.82
4.802,868.7332,TG 52:6|TG 16:0_18:2_18:4,[M+NH4]+,0.92,1046.92
4.829,946.77765,TG 58:9|TG 18:2_18:2_22:5,[M+NH4]+,0.52,1734.94
4.847,920.76281,TG 56:8|TG 18:2_18:2_20:4,[M+NH4]+,0.97,14552.31
4.848,996.79756,TG 62:12|TG 18:2_22:4_22:6,[M+NH4]+,0.86,225.72
4.852,792.7044,TG 46:2|TG 12:0_16:0_18:2,[M+NH4]+,0.82,82.64
4.856,1443.00249,CL 70:6|CL 34:3_36:3,[M+NH4]+,0.5,107.66
4.857,688.5999,CE 20:5,[M+NH4]+,0.87,82.52
4.866,818.71974,TG 48:3|TG 16:1_16:1_16:1,[M+NH4]+,0.86,142.86
4.87,894.7487,TG 54:7|TG 16:0_18:2_20:5,[M+NH4]+,0.96,12353.88
4.871,970.78363,TG 60:11|TG 18:1_20:4_22:6,[M+NH4]+,0.97,711.3
4.876,944.76264,TG 58:10|TG 16:0_20:4_22:6,[M+NH4]+,0.96,831.59
4.876,1469.01132,CL 72:7|CL 36:3_36:4,[M+NH4]+,0.97,4344.04
4.888,844.73133,TG 50:4|TG 14:0_18:2_18:2,[M+NH4]+,0.97,1303.64
4.895,1495.03165,CL 74:8|CL 36:4_38:4,[M+NH4]+,0.96,287.4
4.915,896.76234,TG 54:6|TG 18:2_18:2_18:2,[M+NH4]+,0.97,15890.49
4.917,901.72028,TG 54:6|TG 18:2_18:2_18:2,[M+Na]+,0.03,131.91
4.924,870.74943,TG 52:5|TG 16:0_18:2_18:3,[M+NH4]+,0.96,5507.53
4.925,972.79327,TG 60:10|TG 20:2_20:4_20:4,[M+NH4]+,0.39,264.34
4.946,920.76524,TG 56:8|TG 16:0_18:2_22:6,[M+NH4]+,0.97,38277.01
4.949,714.61515,CE 22:6,[M+NH4]+,0.94,228.82
4.951,946.78033,TG 58:9|TG 18:1_18:2_22:6,[M+NH4]+,0.97,4935.57
4.986,664.59959,CE 18:3,[M+NH4]+,0.88,27.05
